"street","district","buildings"
"Огарева ул.","Заводской",
"Огородницкая ул.","Центральный",
"Одесская ул.","Заводской",
"Одесский пер.","Заводской",
"Одинцова ул.","Фрунзенский",
"Одоевского пер.","Фрунзенский",
"Одоевского ул.","Фрунзенский",
"Озерная ул.","Центральный",
"Озерный пер.","Центральный",
"Озерцовый тракт","Московский",
"Окрестина 1-й пер.","Московский",
"Окрестина ул.","Московский",
"Окружной проезд","Заводской",
"Октябрьская пл.","Центральный",
"Октябрьская ул.","Ленинский",
"Олешева ул.","Советский",
"Ольховая ул.","Центральный",
"Ольшевского пер.","Фрунзенский",
"Ольшевского ул.","Фрунзенский",
"Омельянюка ул.","Заводской",
"Оранжерейная ул.","Ленинский",
"Оранская ул.","Ленинский",
"Орджоникидзе ул.","Заводской",
"Орловская ул.","Центральный",
"Орловский 3-й пер.","Центральный",
"Орловский 4-й пер.","Центральный",
"Орловский 5-й пер.","Центральный",
"Орловский 6-й пер.","Центральный",
"Орловский 7-й пер.","Центральный",
"Орловский 8-й пер.","Центральный",
"Оршанская ул.","Центральный",
"Оршанский проезд","Центральный",
"Освейская ул.","Советский",
"Освобождения ул.","Центральный",
"Осенний 1-й, 2-й пер.","Заводской",
"Осенняя ул.","Заводской",
"Осипенко ул.","Центральный",
"Осиповичская ул.","Октябрьский",
"Основателей ул.","Первомайский",
"Острошицкая ул.","Первомайский",
"Охотская ул.","Заводской",
"Охотский пер.","Заводской",
"Охотский проезд","Заводской",
"Ошмянская ул.","Центральный",
"Ошмянский пер.","Центральный",
"50 Лет Победы ул.","Первомайский",
"Шпилевского Павла ул.","Ленинский",
"Павлова пер.","Центральный",
"Павлова ул.","Центральный",
"Павловского ул.","Заводской",
"Панфилова ул.","Центральный",
"Папанина ул.","Московский",
"Папернянская ул.","Советский",
"Парашютная ул.","Московский",
"Парижской Коммуны пл.","Центральный",
"Парковая ул.","Центральный",
"Парниковая ул.","Первомайский","1-5, 2-4"
"Парниковая ул.","Партизанский","7-57, 22-58"
"Парниковый 3-й, 2-й пер.","Партизанский",
"Паровозный пер.","Московский",
"Партизанская ул.","Ленинский",
"Партизанский просп.","Заводской","67-149, 121-146"
"Партизанский просп.","Ленинский","1-33, 2-8"
"Партизанский просп.","Партизанский","35-49"
"Пархоменко ул.","Центральный",
"Пашкевич Алоизы ул.","Центральный",
"Пензенская ул.","Октябрьский",
"Первомайская ул.","Ленинский","2-14"
"Первомайская ул.","Партизанский","1-11, 18-28"
"Передовая ул.","Партизанский",
"Переходная ул.","Партизанский",
"Переходный 1-й пер.","Партизанский",
"Переходный 2-й пер.","Партизанский",
"Пермская ул.","Московский",
"Пермский пер.","Московский",
"Песочная 2-я ул.","Первомайский",
"Петровщина пер.","Московский",
"Петровщина ул.","Московский",
"Пилотская ул.","Ленинский",
"Пимена Панченко ул.","Фрунзенский",
"Пинская ул.","Фрунзенский",
"Пионерская ул.","Центральный",
"Пирогова 1-й, 2-й пер.","Октябрьский",
"Пирогова ул.","Октябрьский",
"Планерная ул.","Ленинский",
"Платонова ул.","Советский","17-53"
"Платонова ул.","Первомайский","11-15, 12-40"
"Платонова ул.","Партизанский","1-5"
"Плеханова ул.","Заводской","1-47, 2-22"
"Платонова ул.","Ленинский","49-121, 26-48"
"Победителей просп.","Центральный",
"Победы пл.","Центральный",
"Победы пл.","Партизанский",
"Подгорная ул.","Первомайский",
"Подлесная ул.","Партизанский",
"Подольская ул.","Советский",
"Подольский 1-й пер.","Советский",
"Подольский 2-й пер.","Советский",
"Подольский 3-й пер.","Советский",
"Подольский 4-й пер.","Советский",
"Подшипниковый 1-й, 2-й пер.","Заводской",
"Подшипниковый проезд","Заводской",
"Пожарная ул.","Ленинский",
"Пожарского ул.","Заводской",
"Полевая ул.","Ленинский",
"Полевой пер.","Ленинский",
"Полесская ул.","Ленинский",
"Ползунова пер.","Московский",
"Полиграфическая ул.","Советский",
"Полиграфический 1-й пер.","Советский",
"Полиграфический 2-ой пер.","Советский",
"Полиграфический 3-ий пер.","Советский",
"Полиграфический 4-й пер.","Советский",
"Полоцкая ул.","Октябрьский",
"Полоцкий пер.","Октябрьский",
"Полтавская ул.","Ленинский",
"Полярная ул.","Партизанский",
"Пономарева ул.","Первомайский",
"Пономаренко ул.","Фрунзенский",
"Попова ул.","Московский",
"Поселковая 1-я ул.","Советский",
"Поселковая 2-я ул.","Советский",
"Поселковый 2-й пер.","Советский",
"Поселковый 3-й пер.","Советский",
"Поселковый пер.","Советский",
"Поставская ул.","Советский",
"Почтовая ул.","Первомайский",
"Пржевальского 2-я ул.","Заводской",
"Пржевальского ул.","Заводской",
"Привабная ул.","Фрунзенский",
"Приветливая ул.","Центральный",
"Привокзальная пл.","Октябрьский",
"Пригородная ул.","Центральный",
"Придорожная ул.","Фрунзенский",
"Прилукская ул.","Фрунзенский","2-22"
"Прилукская ул.","Московский","1-73, 24-96"
"Прилукский 2-й пер.","Московский",
"Приозерная ул.","Первомайский",
"Притыцкого ул.","Фрунзенский",
"Прогрессивная ул.","Центральный",
"Проездной пер.","Октябрьский",
"Промышленная ул.","Заводской",
"Промышленный пер.","Заводской",
"Профсоюзная ул.","Октябрьский",
"Профсоюзный пер.","Октябрьский",
"Профсоюзный проезд","Октябрьский",
"Прушинских ул.","Ленинский",
"Прямая ул.","Московский",
"Псковская ул.","Первомайский",
"Пугачевская ул.","Советский",
"Пулихова ул.","Партизанский",
"Путейская ул.","Московский",
"Путейский пер.","Московский",
"Путепроводный 1-й пер.","Фрунзенский",
"Путепроводный 2-й пер.","Фрунзенский",
"Путепроводный 3-й пер.","Фрунзенский",
"Путепроводный 4-й пер.","Фрунзенский",
"Путепроводный 5-й пер.","Фрунзенский",
"Путепроводный 6-й пер.","Фрунзенский",
"Путепроводный 7-й пер.","Фрунзенский",
"Путепроводный 8-й пер.","Фрунзенский",
"Путилова ул.","Первомайский",
"Пуховичская ул.","Октябрьский",
"Пушкина просп.","Фрунзенский",
"Рабкоровская ул.","Октябрьский",
"Рабкоровский пер.","Октябрьский",
"Рабочий пер.","Ленинский",
"Радиальная ул.","Партизанский","1-21, 2-42"
"Радиаторная 1-я ул.","Фрунзенский",
"Радиаторная 2-я ул.","Фрунзенский",
"Радиаторный 1-й пер.","Фрунзенский",
"Радиаторный 2-й пер.","Фрунзенский",
"Радиаторный 3-й пер.","Фрунзенский",
"Радиаторный 4-й пер.","Фрунзенский",
"Радиаторный 5-й пер.","Фрунзенский",
"Радищева ул.","Октябрьский",
"Радошковичская ул.","Центральный",
"Радошковская ул.","Фрунзенский",
"Радошковский пер.","Фрунзенский",
"Радужная ул.","Центральный",
"Разинская ул.","Московский",
"Разинский пер.","Московский",
"Райниса Яна ул.","Заводской",
"Раковская ул.","Центральный",
"Раубичская ул.","Советский",
"Раубичский пер.","Советский",
"Рафиева ул.","Московский",
"Революционная ул.","Центральный",
"Репина ул.","Центральный",
"Речная ул.","Центральный",
"Ржавецкая ул.","Центральный",
"Ржавецкий пер.","Центральный",
"Рижская ул.","Октябрьский",
"Рижский 1-й, 2-й пер.","Октябрьский",
"Рогачевская ул.","Октябрьский",
"Рогачевский проезд","Октябрьский",
"Родниковая ул.","Партизанский",
"Рокоссовского просп.","Ленинский",
"Романовская Слобода ул.","Московский","1к"
"Романовская Слобода ул.","Центральный","2к"
"Ромашкина ул.","Октябрьский",
"Роменская ул.","Ленинский",
"Россонская ул.","Советский",
"Ротмистрова ул.","Заводской",
"Румянцева ул.","Партизанский",
"Русановича ул.","Фрунзенский",
"Руссиянова ул.","Первомайский",
"Рущица Фердинанда ул.","Партизанский",
"Рыбалко ул.","Ленинский",
"Рылеева ул.","Центральный",
"Рымарская ул.","Московский",
"Рябинницкая ул.","Центральный",
"Рябиновая ул.","Октябрьский",
"Садовая ул.","Первомайский",
"Самарская ул.","Октябрьский",
"Самарский пер.","Октябрьский",
"Саперов ул.","Центральный",
"Свердлова ул.","Октябрьский","22-36"
"Свердлова ул.","Ленинский","1-23"
"Свердлова ул.","Московский",10
"Светлая ул.","Первомайский",
"Свирский 1-й пер.","Центральный",
"Свирский 2-й пер","Центральный",
"Свирский 3-й пер","Центральный",
"Свирский 4-й пер","Центральный",
"Свислочская ул.","Заводской",
"Свободы пл.","Центральный",
"Свободы ул.","Первомайский",
"Связистов ул.","Партизанский",
"Севастопольская ул.","Первомайский",
"Севастопольский пер.","Первомайский",
"Северный пер.","Московский",
"Седова ул.","Заводской",
"Седых ул.","Первомайский",
"Селицкого ул.","Заводской",
"Семашко ул.","Московский",
"Семенова ул.","Ленинский",
"Сенницкая ул.","Октябрьский",
"Сенницкий проезд","Октябрьский",
"Серафимовича ул.","Ленинский",
"Сердича ул.","Фрунзенский",
"Серебряное Кольцо ул.","Центральный",
"Серебрянская ул.","Ленинский",
"Серебрянский пер.","Ленинский",
"Серова пер.","Октябрьский",
"Серова ул.","Октябрьский",
"Сеченова ул.","Заводской",
"Силикатный 1-й пер.","Фрунзенский",
"Силикатный 2-й пер.","Фрунзенский",
"Силикатный 3-й пер.","Фрунзенский",
"Сиреневая ул.","Первомайский",
"Скалинская ул.","Центральный",
"Скорины 1-й пер.","Советский",
"Скорины ул.","Советский",
"Скрипникова ул.","Фрунзенский",
"Скрыганова ул.","Фрунзенский",
"Славинского ул.","Первомайский",
"Славный пер.","Центральный",
"Славянская ул.","Первомайский",
"Слепня Б. ул.","Первомайский",
"Слепнянский 2-й пер.","Первомайский",
"Слепнянский 5-й пер.","Первомайский",
"Слесарная ул.","Партизанский",
"Слободская ул.","Московский",
"Слободской пер.","Московский",
"Слободской проезд","Московский",
"Слонимская ул.","Октябрьский",
"Смирнова ул.","Московский",
"Смоленская ул.","Ленинский","1-1а"
"Смоленская ул.","Партизанский","2-100, 3-99"
"Смолячкова ул.","Советский",
"Сморговский 1-й пер.","Центральный",
"Сморговский 2-ой пер.","Центральный",
"Сморговский 3-ий пер.","Центральный",
"Сморговский 4-й пер.","Центральный",
"Сморговский 5-й пер.","Центральный",
"Сморговский проезд","Центральный",
"Сморговский тракт","Центральный",
"Снежный пер.","Фрунзенский",
"Собинова 2-й пер.","Советский",
"Собинова пер.","Советский",
"Собинова ул.","Советский",
"Советская ул.","Московский",
"Соколянский пер.","Ленинский",
"Солнечная ул.","Ленинский",
"Солнечный пер.","Ленинский",
"Соломенная ул.","Партизанский",
"Солтыса пер.","Партизанский",
"Солтыса ул.","Заводской","1-205"
"Солтыса ул.","Партизанский",
"Сосновая ул.","Партизанский",
"Сосновый Бор ул.","Советский",
"Социалистическая ул.","Заводской",56
"Социалистическая ул.","Партизанский",
"Спортивный пер.","Октябрьский",
"Стадионная ул.","Центральный",
"Станиславского ул.","Ленинский",
"Стариновская ул.","Первомайский",
"Старобинская ул.","Заводской",
"Старовиленская ул.","Центральный","77-125, 86-96, 133"
"Старовиленская ул.","Советский",
"Старовиленский тракт","Центральный",
"Стасова 1-й пер.","Московский",
"Стасова 2-й пер.","Московский",
"Стасова 3-й пер.","Московский",
"Стасова ул.","Московский",
"Стахановская ул.","Партизанский",
"Стахановский пер.","Партизанский",
"Стебенева пер.","Октябрьский",
"Стебенева ул.","Октябрьский",
"Степной пер.","Октябрьский",
"Степянская ул.","Партизанский",
"Степянский пер.","Партизанский",
"Стефановская ул.","Центральный",
"Стиклево Мал.","Заводской",
"Столбцовская ул.","Заводской",
"Столетова проезд","Партизанский",
"Столетова пре.","Партизанский",
"Столетова ул.","Партизанский",
"Столичная ул.","Центральный",
"Столичный пер.","Центральный",
"Столичный проезд","Центральный",
"Сторжевская ул.","Центральный",
"Стрелковая ул.","Ленинский",
"Строителей ул.","Заводской",
"Студенческая ул.","Октябрьский",
"Студенческий пер.","Октябрьский",
"Суворова ул.","Первомайский",
"Судмалиса ул.","Ленинский",
"Суражская ул.","Московский",
"Сурганова ул.","Советский","2-32, 1-17"
"Сурганова ул.","Первомайский",
"Сурикова пер.","Заводской",
"Сурикова проезд","Заводской",
"Сурикова ул.","Заводской",
"Сухаревская ул.","Фрунзенский",
"Сухая ул.","Московский",
"3 Сентября ул.","Фрунзенский",
"Табольский пер.","Заводской",
"Таежная ул.","Партизанский",
"Талаша 1-й пер.","Московский",
"Талаша пер.","Московский",
"Талаша ул.","Московский",
"Таллинская ул.","Московский",
"Таллинский пер.","Московский",
"Танковая ул.","Центральный","67, 77, 79, 87"
"Танковая ул.","Фрунзенский",
"Тарханова ул.","Центральный",
"Татарская ул.","Центральный",
"Ташкентская ул.","Заводской",
"Ташкентский проезд","Заводской",
"Твердый 1-й пер.","Первомайский",
"Телеграфный пер.","Ленинский",
"Тенистая ул.","Первомайский",
"Тепличная ул.","Партизанский",
"Тепличный пер.","Партизанский",
"Тикоцкого ул.","Первомайский",
"Тимирязева пер.","Центральный",
"Тимирязева ул.","Фрунзенский","11к, 2-100"
"Тимирязева ул.","Центральный",29
"Тимошенко ул.","Фрунзенский",
"Тиражная ул.","Советский",
"Тиражный 1-й пер.","Советский",
"Тиражный 2-й пер.","Советский",
"Тиражный проезд","Советский",
"Тихая ул.","Центральный",
"Тихий пер.","Центральный",
"Тобольский пер.","Заводской",
"Товарищеский пер.","Партизанский",
"Толбухина ул.","Первомайский",
"Толстого пер.","Октябрьский",
"Толстого ул.","Октябрьский",
"Томская ул.","Заводской",
"Томский пер.","Заводской",
"Топографическая ул.","Советский",
"Топографический 1-й пер.","Советский",
"Топографический 2-ой пер.","Советский",
"Торговач ул.","Центральный",
"Тракторная ул.","Партизанский",
"Тракторостроителей бул.","Партизанский",
"Транспортный пер.","Московский",
"Тростенецкая ул.","Ленинский",
"Трубный 1-й пер.","Октябрьский",
"Трубный 2-й пер.","Октябрьский",
"Трубный 3-й пер.","Октябрьский",
"Трудовая ул.","Заводской",
"Тульская ул.","Советский",
"Тульский 1-й пер.","Советский",
"Тульский 2-й пер.","Советский",
"Тупикова ул.","Первомайский",
"Туполева ул.","Октябрьский",
"Тургенева ул.","Советский",
"Тухачевского ул.","Заводской",
"Тучинский пер.","Фрунзенский",
"Тяпинского ул.","Первомайский",
"Уборевича просп.","Заводской",
"Уборевича ул.","Заводской",
"Украинская ул.","Заводской",
"Ульяновская ул.","Октябрьский","37-41, 30-34"
"Ульяновская ул.","Ленинский","1-35, 2-24"
"Уманская 1-я ул.","Московский",
"Уманская ул.","Московский",
"Уральская ул.","Партизанский",
"Уральский пер.","Партизанский",
"Урожайная ул.","Центральный",
"Уручская ул.","Первомайский",
"Усадебная ул.","Советский",
"Усадебный пер.","Советский",
"Утульная ул.","Фрунзенский",
"Уфимская ул.","Октябрьский",
"Ученический пер.","Партизанский",
"Ушакова пер.","Заводской",
"Ушакова ул.","Заводской",
"Ушачская ул.","Центральный",
"Фабрициуса пер.","Московский",
"Фабрициуса ул.","Московский",
"Фабричная ул.","Ленинский",
"Фабричный 1-й пер.","Ленинский",
"Фабричный 2-й пер.","Ленинский",
"Фанипольская ул.","Московский",
"Фанипольский проезд","Московский",
"Федорова Акад. ул.","Фрунзенский",
"Федотова пер.","Заводской",
"Федотова ул.","Заводской",
"Физкультурная ул.","Октябрьский","1-7"
"Физкультурная ул.","Ленинский","11-41, 8-26а"
"Физкультурный 2-ой пер.","Октябрьский",
"Физкультурный пер.","Октябрьский",
"Филатова ул.","Заводской",
"Филимонова ул.","Партизанский","8"
"Филимонова ул.","Первомайский","33, 39, 43"
"Фогеля ул.","Первомайский",
"Фольварковая ул.","Советский",
"Фольварковый пер.","Советский",
"Фомина 1-й пер.","Октябрьский",
"Фомина 2-й пер.","Октябрьский",
"Фомина ул.","Октябрьский",
"Фроликова ул.","Партизанский",
"Фрунзе ул.","Партизанский",
"Футчика ул.","Заводской",
"Хабаровская ул.","Заводской",
"Халтурина 1-й пер.","Советский",
"Халтурина 2-й пер.","Советский",
"Халтурина ул.","Советский",
"Харьковская ул.","Фрунзенский","93-121, 2-11"
"Харьковская ул.","Московский","7-87"
"Харьковский 3-й пер.","Фрунзенский",
"Хмаринская ул.","Советский",
"Хмелевского ул.","Московский",
"Холмогорская ул.","Партизанский",
"Холмогорский 1-й пер.","Партизанский",
"Холмогорский 2-й пер.","Партизанский",
"Холмогорский 3-й пер.","Партизанский",
"Холмогорский 4-й пер.","Партизанский",
"Хоружей В. ул.","Центральный","36-48, 31-41"
"Хоружей В. ул.","Советский","2-34, 1-29"
"Цветочная ул.","Фрунзенский",
"Центральная пл.","Центральный",
"Центральная ул.","Заводской",
"Цеткин Клары ул.","Московский",
"Циалковский 1-й пер.","Октябрьский",
"Циалковский 2-й пер.","Октябрьский",
"Циалковского ул.","Октябрьский",
"Цна д.","Советский",
"Цнянка д.","Центральный",
"Цнянская ул.","Советский",
"Чайковского пер.","Первомайский",
"Чайковского проезд","Первомайский",
"Чайковского ул.","Первомайский",
"Чайлытко ул.","Фрунзенский",
"Чапаева ул.","Партизанский",
"Чарота ул.","Первомайский",
"Чеботарева ул.","Партизанский",
"Чекалина проезд","Заводской",
"Чекалина ул.","Заводской",
"Челюскинцев 2-й пер.","Заводской",
"Челюскинцев ул.","Заводской",
"Червякова пер.","Центральный",
"Червякова ул.","Центральный",
"Черниговская пер.","Октябрьский",
"Черниговская ул.","Октябрьский",
"Чернышевского 1-й пер.","Советский",
"Чернышевского ул.","Первомайский",
"Черняховского ул.","Первомайский",
"Чехова ул.","Центральный",
"Чигладзе ул.","Фрунзенский",
"Чижевская ул.","Заводской",
"Чижевских пер.","Ленинский",
"Чижевских проезд","Ленинский",
"Чижевских ул.","Ленинский",
"Чичерина ул.","Центральный",
"Чкалова ул.","Октябрьский",
"Шабаны ул.","Заводской",
"Шабловского ул.","Октябрьский",
"Шаранговича ул.","Фрунзенский",
"Шатько ул.","Московский",
"Шафарнянская ул.","Первомайский",
"Шевченко бул.","Центральный",
"Шейпичи ул.","Ленинский",
"Шемеша А. ул.","Партизанский",
"Шестая Линия 2-я ул.","Советский",
"Широкая ул.","Советский",
"Шишкина ул.","Заводской",
"Школьная ул.","Фрунзенский",
"Школьный пер.","Октябрьский",
"Шорная ул.","Московский",
"Шоссейная ул.","Заводской",
"Шугаева ул.","Первомайский",
"Шумилинская ул.","Центральный",
"Щедрина 1-й пер.","Центральный",
"Щедрина 2-й пер.","Центральный",
"Щедрина 3-й пер.","Центральный",
"Щедрина ул.","Центральный",
"Щепкина ул.","Советский",
"Щербакова пер.","Партизанский",
"Щербакова ул.","Партизанский",
"Щетовка ул.","Заводской",
"Щорса 1-й пер.","Московский",
"Щорса 2-я ул.","Московский",
"Щорса 3-я ул.","Московский",
"Щорса 4-я ул.","Московский",
"Щорса 5-я ул.","Московский",
"Щорса ул.","Московский",
"Экскаваторная ул.","Советский",
"Экскаваторный пер.","Советский",
"Энгельса ул.","Центральный","1-3, 2-6"
"Энгельса ул.","Ленинский","7-29а, 10-42"
"Энергетический проезд","Заводской",
"Юбилейная пл.","Центральный",
"Юбилейная ул.","Ленинский",
"Юбилейный пер.","Ленинский",
"Южная ул.","Октябрьский",
"Южный 1-й пер.","Октябрьский",
"Южный пер.","Октябрьский",
"Юношеская ул.","Заводской",
"Юношеский 1-й пер.","Заводской",
"Юношеский 2-й пер.","Заводской",
"Яблоневая ул.","Партизанский",
"Язепа Дроздовича ул.","Ленинский",
"Язминавая ул.","Партизанский",
"Якубовского ул.","Фрунзенский",
"Янковского ул.","Фрунзенский",
"Янтарная ул.","Центральный",
"Ярковская ул.","Фрунзенский",
"Ярошевичская ул.","Центральный",
"Ярошевичский пер.","Центральный",
"Ясная ул.","Партизанский",
"Аладовых ул.","Фрунзенский",
"Брикета ул.","Фрунзенский",
"Домбровская ул.","Фрунзенский",
"Шамякина ул.","Фрунзенский",
"Лидская ул.","Фрунзенский",
"Карского ул.","Фрунзенский",
"Жиновича ул.","Фрунзенский",
"Люцинская ул.","Фрунзенский",
"Налибокская ул.","Фрунзенский",
"Казимировская ул.","Фрунзенский",
"Каменногорская ул.","Фрунзенский",
"Игнатовского ул.","Фрунзенский",
"Голубка Владислава ул.","Фрунзенский",
"Гаруна Алеся ул.","Фрунзенский",
"Ширмы Григория ул.","Фрунзенский",
"Чичурина Валерия ул.","Фрунзенский",
"Семеняко Юрия ул.","Фрунзенский",
"Аннаева Ораза ул.","Партизанский",
"Брыля Янки ул.","Московский",
"Зыбицкая ул.","Центральный",
"Бехтерева пер.","Заводской",
"Броневой пер.","Партизанский",
"Одинцова пер.","Фрунзенский",
"Камайская ул.","Центральный",
"Мястровская ул.","Центральный",
"Ильянская ул.","Центральный",
"Сторожевская ул.","Центральный",
"Сторожёвская ул.","Центральный",
"Танка Максима ул.","Центральный",
"Каролинская ул.","Московский",
"Некрашевича ул.","Московский",
"Чечота ул.","Московский",
"Орды Наполеона ул.","Московский",
"Гедройца Ежи ул.","Московский",
"Сапеги Льва ул.","Московский",
"Тышкевичей ул.","Московский",
"Острожских ул.","Московский",
"Чюрлениса ул.","Московский",
"Чюрлёниса ул.","Московский",
"Мстиславца Петра ул.","Первомайский",
"Купревича Академика ул.","Первомайский",
"Туровского Кирилла ул.","Первомайский",
"Карвата ул.","Партизанский",
"Ратомская ул.","Центральный",
"Ложинская ул.","Первомайский",
"Навуковая ул.","Первомайский",
"Научная ул.","Первомайский",
"Газеты Звязда просп.","Московский",
"Червоноармейская ул.","Ленинский","1-37, 2-74"
"Червоноармейская ул.","Партизанский","41-46"
"Могилёвская ул.","Октябрьский",
"Нёманская ул.","Фрунзенский",
"Неманская ул.","Фрунзенский",
"Рогачёвская ул.","Октябрьский",
"Рогачёвский проезд","Октябрьский",
"Краснозвёздная ул.","Советский","1-33, 2-10"
"Краснозвёздная ул.","Первомайский","12-20"
"Краснозвёздный пер.","Советский",
"Березогорская ул.","Московский",
"Берёзогорская ул.","Московский",
"Киселёва ул.","Центральный",
"Будённого ул.","Партизанский",
"Фёдорова Академика ул.","Фрунзенский",
"Макаёнка ул.","Первомайский",
"Копиевича Ильи ул.","Первомайский",
"Огинского ул.","Первомайский",
"Всехсвятская ул.","Первомайский",
"Программистов ул.","Первомайский",
"Андреевская ул.","Партизанский",
"Аранская ул.","Ленинский",
"Гризодубовой ул.","Октябрьский",
"Папернянская ул.","Советский",
"Папернянский пер.","Советский",
"Германовская ул.","Заводской",
"Детдомовская ул.","Заводской",
"Киреенко ул.","Октябрьский",
"Липковская ул.","Партизанский",
"Липковский пер.","Партизанский",
"Тимошенко 1-й пер.","Фрунзенский",
"Тимошенко 2-й пер.","Фрунзенский",
"Пташука ул.","Ленинский",
"Вербная ул.","Центральный",
"Мелиоративная ул.","Советский",
"Ясный пер.","Партизанский",
"Заливной пер.","Центральный",
"Нефтяной пер.","Октябрьский",
"Стекольный пер.","Московский",
"Тарашкевича Бронислава ул.","Партизанский",
"Полоцкой Евфросиньи ул.","Фрунзенский",
"Газеты Правды просп.","Московский",
"Качинская ул.","Фрунзенский",
"40 лет Победы ул.","Партизанский",
