ул. Петра Глебки 70 	 Фрунзенский
ул. Одинцова 117 	 Фрунзенский
ул. Якубовского 26 к4 	 Фрунзенский
ул. Ландера 82 	 Октябрьский
просп. Рокоссовского 130 	 Ленинский
ул. Менделеева 23 	 Партизанский
ул. Рафиева 93 к5 	 Московский
ул. Карбышева 11 	 Первомайский
ул. Жудро 31 	 Фрунзенский
ул. Одинцова 105 	 Фрунзенский
просп. Рокоссовского 148 	 Ленинский
ул. Владислава Сырокомли 18 	 Ленинский
ул. Одинцова 43 	 Фрунзенский
просп. Пушкина 33 	 Фрунзенский
ул. Жудро 61 	 Фрунзенский
ул. Леси Украинки 12 1 	 Центральный
ул. Воронянского 56  	 Октябрьский
ул. Петра Глебки 22 	 Фрунзенский
просп. Пушкина 33 	 Фрунзенский
ул. Воронянского 15 2 	 Октябрьский
ул. Шугаева 21 1 	 Первомайский
ул. Притыцкого 78 	 Фрунзенский
ул. Малинина 14 	 Ленинский
ул. Одинцова 105 	 Фрунзенский
ул. Шаранговича 33 	 Фрунзенский
ул. Пулихова 31 	 Партизанский
ул. Гикало 16 	 Советский
ул. Седых 32 	 Первомайский
ул. Прушинских 62 	 Ленинский
ул. Белецкого 50 1 	 Московский
ул. Шугаева 23 1 	 Первомайский
ул. Притыцкого 106 	 Фрунзенский
просп. Дзержинского 131 	 Московский
ул. Карла Либкнехта 67 	 Московский
ул. Чкалова 22 	 Октябрьский
ул. Волоха 53 	 Московский
ул. Одинцова 14 1 	 Фрунзенский
ул. Шатько 39 	 Московский
ул. Одинцова 105 	 Фрунзенский
ул. Смирнова 21 	 Московский
ул. Якубовского 26 к4 	 Фрунзенский
ул. Смирнова 21 	 Московский
ул. Карбышева 13 	 Первомайский
ул. Павловского 48 	 Заводской
ул. Бурдейного 45 	 Фрунзенский
ул. Якубовского 19 	 Фрунзенский
ул. Белецкого 46 	 Московский
просп. Рокоссовского 77 	 Ленинский
ул. Воронянского 25 	 Октябрьский
ул. Тимошенко 14 к2 	 Фрунзенский
ул. Тимошенко 14 к2 	 Фрунзенский
ул. Лещинского 25 	 Фрунзенский
ул. Чигладзе 10 	 Фрунзенский
ул. Прушинских 11 	 Ленинский
ул. Прушинских 11 	 Ленинский
просп. Рокоссовского 77 	 Ленинский
ул. Лермонтова 45 	 Московский
ул. Гикало 22 Б 	 Советский
ул. Гамарника 20 1 	 Советский
ул. Плеханова 56 к3 	 Заводской
просп. Пушкина 51 	 Фрунзенский
ул. Лермонтова 17-44 	 Московский
ул. Колесникова 16 	 Фрунзенский
ул. Герасименко 18 	 Заводской
ул. Лермонтова 18 2 	 Московский
ул. Кунцевщина 48 	 Фрунзенский
просп. Рокоссовского 18 1 	 Ленинский
ул. Чайлытко 19 	 Фрунзенский
ул. Декабристов 27 	 Московский
ул. Мясникова 76 	 Московский
просп. Рокоссовского 90 	 Ленинский
ул. Ротмистрова 32 	 Заводской
ул. Лобанка 86 	 Фрунзенский
ул. Скрипникова 10 	 Фрунзенский
ул. Скрипникова 10 	 Фрунзенский
просп. Пушкина 64 	 Фрунзенский
ул. Лобанка 71 	 Фрунзенский
ул. Одинцова 48 	 Фрунзенский
ул. Пимена Панченко 56 	 Фрунзенский
ул. Захарова 64 	 Партизанский
ул. Мясникова 34 	 Московский
ул. Мясникова 34 	 Московский
ул. Воронянского 52 	 Октябрьский
ул. Янковского 42 	 Фрунзенский
ул. Искалиева 16 	 Заводской
ул. Искалиева 16 	 Заводской
ул. Искалиева 16 	 Заводской
ул. Искалиева 16 	 Заводской
ул. Искалиева 16 	 Заводской
ул. Искалиева 16 	 Заводской
ул. Искалиева 16 	 Заводской
ул. Искалиева 16 	 Заводской
ул. Искалиева 16 	 Заводской
ул. Искалиева 16 	 Заводской
ул. Владислава Сырокомли 46 	 Ленинский
ул. Шабаны 11 	 Заводской
ул. Якубовского 26 к4 	 Фрунзенский
ул. Павловского 48 	 Заводской
ул. Пономаренко 32 	 Фрунзенский
ул. Волоха 47 	 Московский
ул. Выготского 45 	 Центральный
ул. Воронянского 13 к4 	 Октябрьский
ул. Кульман 28 	 Советский
ул. Громова 24 	 Московский
просп. Рокоссовского 77 	 Ленинский
просп. Любимова 35 	 Московский
ул. Пономаренко 32 	 Фрунзенский
ул. Шишкина 20 2 	 Заводской
просп. Пушкина 23 	 Фрунзенский
просп. Пушкина 33 	 Фрунзенский
ул. Петра Глебки 48 	 Фрунзенский
ул. Карбышева 13 	 Первомайский
ул. Красина 24 	 Заводской
ул. Якубовского 34 	 Фрунзенский
ул. Героев 120 Дивизии 8 	 Первомайский
просп. Любимова 33 	 Московский
просп. Пушкина 81 	 Фрунзенский
просп. Пушкина 81 	 Фрунзенский
ул. Белецкого 20 	 Московский
ул. Славинского 39 	 Первомайский
ул. Осипенко 15 	 Центральный
ул. Матусевича 36 к1 	 Фрунзенский
ул. Притыцкого 152 	 Фрунзенский
ул. Тикоцкого 40 	 Первомайский
ул. Декабристов 29 	 Московский
ул. Бабушкина 78 	 Октябрьский
ул. Карла Либкнехта 95 	 Московский
ул. Искалиева 16 	 Заводской
ул. Искалиева 16 	 Заводской
ул. Искалиева 16 	 Заводской
ул. Шаранговича 80 	 Фрунзенский
ул. Кульман 13 	 Советский
ул. Якубовского 24 к1 	 Фрунзенский
просп. Рокоссовского 18 1 	 Ленинский
просп. Рокоссовского 160 	 Ленинский
ул. Притыцкого 82 	 Фрунзенский
ул. Болеслава Берута 16 к3 	 Фрунзенский
ул. Левкова 15 	 Октябрьский
ул. Притыцкого 17 	 Фрунзенский
ул. Тикоцкого 10 	 Первомайский
ул. Гинтовта 12 	 Первомайский
ул. Притыцкого 47 	 Фрунзенский
ул. Бельского 25 	 Фрунзенский
ул. Скрипникова 10 	 Фрунзенский
просп. Любимова 13 к1 	 Московский
ул. Селицкого 105 	 Заводской
ул. Одинцова 11 	 Фрунзенский
ул. Одинцова 11 	 Фрунзенский
ул. Одинцова 11 	 Фрунзенский
ул. Одинцова 19 	 Фрунзенский
ул. Никифорова 17 	 Первомайский
ул. Лермонтова 18 2 	 Московский
ул. Лермонтова 18 к2 	 Московский
просп. Победителей 53 к1 	 Центральный
ул. Гуртьева 18 	 Первомайский
ул. Громова 22 	 Московский
ул. Толбухина 14 	 Первомайский
ул. Прушинских 12 	 Ленинский
просп. Жукова 21 1 	 Московский
ул. Бабушкина 78 	 Октябрьский
ул. Скрипникова 25 	 Фрунзенский
ул. Одинцова 14 	 Фрунзенский
ул. Притыцкого 106 	 Фрунзенский
ул. Шугаева 17 1 	 Первомайский
просп. Рокоссовского 52 1 	 Ленинский
ул. Воронянского 13 к5 	 Октябрьский
ул. Притыцкого 106 	 Фрунзенский
ул. Космонавтов 25 	 Московский
ул. Тикоцкого 10 	 Первомайский
ул. Одинцова 97 	 Фрунзенский
ул. Жилуновича 29 	 Заводской
ул. Лобанка 71 	 Фрунзенский
ул. Одинцова 11-14 	 Фрунзенский
ул. Притыцкого 54 	 Фрунзенский
ул. Притыцкого 54 	 Фрунзенский
просп. Рокоссовского 170 	 Ленинский
просп. Пушкина 69 	 Фрунзенский
ул. Белецкого 18 	 Московский
ул. Притыцкого 54 	 Фрунзенский
ул. Лермонтова 18 2 	 Московский
ул. Декабристов 26 	 Московский
ул. Прушинских 11 	 Ленинский
ул. Притыцкого 148 	 Фрунзенский
ул. Притыцкого 122 	 Фрунзенский
ул. Притыцкого 90 	 Фрунзенский
просп. Победителей 95 	 Центральный
ул. Матусевича 27-42 	 Фрунзенский
просп. Дзержинского 126 	 Московский
ул. Болеслава Берута 17 к4 	 Фрунзенский
ул. Петра Глебки 18 	 Фрунзенский
ул. Горовца 26 	 Ленинский
ул. Громова 28 	 Московский
ул. Болеслава Берута 17 4 	 Фрунзенский
ул. Плеханова 85 	 Заводской
ул. Прушинских 12 	 Ленинский
ул. Куприянова 17 	 Московский
ул. Гая 32 	 Центральный
ул. Мирошниченко 27 	 Советский
ул. Гикало 22 Б 	 Советский
ул. Гикало 22А 	 Советский
ул. Гикало 24 1 	 Советский
ул. Шугаева 17 1 	 Первомайский
ул. Кунцевщина 36 	 Фрунзенский
ул. Якубовского 40 	 Фрунзенский
ул. Бельского 18 	 Фрунзенский
ул. Якубовского 36 	 Фрунзенский
ул. Румянцева 14 	 Партизанский
ул. Красная Слобода 13 	 Заводской
ул. Волоха 27 	 Московский
ул. Волоха 27 	 Московский
ул. Лещинского 55 	 Фрунзенский
ул. Одинцова 117 	 Фрунзенский
ул. Лобанка 54 	 Фрунзенский
ул. Тикоцкого 10 	 Первомайский
ул. Лобанка 19 	 Фрунзенский
ул. Тикоцкого 34 1 	 Первомайский
ул. Тикоцкого 34 1 	 Первомайский
ул. Славинского 18 	 Первомайский
ул. Шугаева 21 2 	 Первомайский
ул. Шугаева 21 2 	 Первомайский
ул. Голубева 14 	 Московский
просп. Рокоссовского 18 к1 	 Ленинский
ул. Карла Либкнехта 71 	 Московский
просп. Дзержинского 11 	 Московский
ул. Алибегова 21 	 Московский
просп. Рокоссовского 12 1 	 Ленинский
ул. Чигладзе 31 	 Фрунзенский
ул. Лещинского 45 	 Фрунзенский
ул. Захарова 61 	 Партизанский
ул. Одинцова 97 	 Фрунзенский
просп. Рокоссовского 18 1 	 Ленинский
ул. Воронянского 15 к1 	 Октябрьский
ул. Рафиева 109 	 Московский
ул. Рафиева 109 	 Московский
ул. Якубовского 15 	 Фрунзенский
ул. Притыцкого 54 	 Фрунзенский
ул. Ландера 54 	 Октябрьский
ул. Притыцкого 44 	 Фрунзенский
ул. Жудро 57 	 Фрунзенский
ул. Гамарника 10 	 Советский
ул. Селицкого 67 	 Заводской
ул. Селицкого 67 	 Заводской
ул. Сердича 66 	 Фрунзенский
ул. Сердича 54 	 Фрунзенский
ул. Искалиева 16 	 Заводской
ул. Селицкого 79 	 Заводской
ул. Лобанка 71 	 Фрунзенский
ул. Якубовского 26 к1 	 Фрунзенский
ул. Якубовского 33 	 Фрунзенский
ул. Жилуновича 41 	 Заводской
ул. Одинцова 15 к1 	 Фрунзенский
ул. Одинцова 15 к1 	 Фрунзенский
ул. Одинцова 15 к1 	 Фрунзенский
ул. Воронянского 27 	 Октябрьский
ул. Шаранговича 80 	 Фрунзенский
ул. Шаранговича 80 	 Фрунзенский
ул. Шаранговича 80 	 Фрунзенский
ул. Шаранговича 80 	 Фрунзенский
ул. Лобанка 30 	 Фрунзенский
ул. Одинцова 20 	 Фрунзенский
ул. Лермонтова 18 к2 	 Московский
ул. Лермонтова 18 к2 	 Московский
ул. Седых 32 	 Первомайский
ул. Лермонтова 18 2 	 Московский
ул. Прушинских 11 	 Ленинский
ул. Матусевича 55 	 Фрунзенский
ул. Одинцова 18 1 	 Фрунзенский
ул. Шугаева 25 	 Первомайский
ул. Славинского 17 	 Первомайский
ул. Герасименко 40 	 Заводской
ул. Воронянского 13 к1 	 Октябрьский
ул. Бельского 37 	 Фрунзенский
ул. Лобанка 32 	 Фрунзенский
ул. Космонавтов 14 	 Московский
ул. Руссиянова 13 1 	 Первомайский
ул. Воронянского 15 2 	 Октябрьский
ул. Тухачевского 18 	 Заводской
ул. Матусевича 88 	 Фрунзенский
просп. Любимова 19 2 	 Московский
ул. Громова 20 	 Московский
ул. Притыцкого 120 	 Фрунзенский
ул. Плеханова 58 3 	 Заводской
ул. Жудро 31 	 Фрунзенский
ул. Серафимовича 10 	 Ленинский
ул. Шаранговича 49 3 	 Фрунзенский
просп. Пушкина 12А 	 Фрунзенский
ул. Захарова 40 	 Партизанский
ул. Лобанка 88 	 Фрунзенский
ул. Воронянского 15 к1 	 Октябрьский
ул. Якубовского 25 	 Фрунзенский
ул. Бехтерева 10 	 Заводской
ул. Славинского 37 	 Первомайский
ул. Одинцова 105 	 Фрунзенский
ул. Одинцова 105 	 Фрунзенский
ул. Короля 13 	 Московский
ул. Одинцова 105 	 Фрунзенский
просп. Рокоссовского 30 2 	 Ленинский
ул. Притыцкого 108 	 Фрунзенский
ул. Громова 36 	 Московский
ул. Искалиева 16 	 Заводской
ул. Рафиева 53 	 Московский
ул. Рафиева 48 	 Московский
ул. Плеханова 121 	 Заводской
ул. Матусевича 84 	 Фрунзенский
просп. Пушкина 38 	 Фрунзенский
ул. Притыцкого 138 	 Фрунзенский
ул. Притыцкого 138 	 Фрунзенский
ул. Волоха 57 	 Московский
ул. Гамарника 16 	 Советский
ул. Жудро 57 	 Фрунзенский
ул. Бабушкина 78 	 Октябрьский
